objectid,title,creator,creatorinterview,subject,signature,date,description,condition,scopeandcontents,provenance,source,identifier,relation,type,media,format,size,rights,rightsstatement,fileid,object_location,image_small,image_thumb,Location,Collection.Number,row_number,filename_nopath,filename_ArtMuseum,id_DRDS,fileme_DRDS
little_000011,Kiowa chieftan,"Turkey, Moses",,,Moses Turkey 56,1956,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.11 MTurkey,NA,Image,Mixed media,image/jpg,image: 11 x 9 in.; framed: 19.5 x 17.5 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.11 MTurkey.jpg,/objects/little_000011.jpg,/objects/small/little_000011_sm.jpg,/objects/thumbs/little_000011_th.jpg,Recto LR,01.O.11,11,TurkeyM 01.11.jpg,ArtistSn-Z/TurkeyM 01.11.jpg,11,little_000011.jpg
little_000012,Ute Native American after Curtis,"Yazzie, Gary",,Navajo (culture or style);,G. Yazzie,2001,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.12 GYazzie,NA,Image,Conte crayon Ã¢â€žÂ¢,image/jpg,image: 7 x 4.5 in.; framed: 16.5 x 13.5 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.12 GYazzie.jpg,/objects/little_000012.jpg,/objects/small/little_000012_sm.jpg,/objects/thumbs/little_000012_th.jpg,Recto LL,01.O.12,12,YazzieG 01.12.jpg,ArtistSn-Z/YazzieG 01.12.jpg,12,little_000012.jpg
little_000013,Profile of man in hat,"Redbird, Robert",https://dc.library.okstate.edu/digital/collection/ona/id/92/rec/99,Kiowa (culture or style); Kiowa Tribe,Robert Redbird Kiowa,,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.13 RRedbirdSr.,NA,Image,Tempera; Paper (fiber product),image/jpg,image: 9.75 x 7.75 in.; framed: 15 x 14 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.13 RRedbirdSr..jpg,/objects/little_000013.jpg,/objects/small/little_000013_sm.jpg,/objects/thumbs/little_000013_th.jpg,Recto LR,01.O.13,13,Redbird Sr.R 01.13.jpg,ArtistM-Sm/Redbird Sr.R 01.13.jpg,13,little_000013.jpg
little_000014,"Way of the Native American, past and present","Tiger, Dana",https://dc.library.okstate.edu/digital/collection/ona/id/259/rec/117,Seminole; Cherokee (culture or style); Creek (culture or style); Seminole Nation of Oklahoma; Cherokee Nation; Muscogee (Creek) Nation,Dana Tiger '86 (all panels),1986,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.2 DTiger,NA,Image,Colored pencils; Paper (fiber product),image/jpg,"image: 4 x 5.5 in. (#1, 2, 4, 5); 4.5 x 5.5 in. (#3); framed: 14 x 23.5 in.","The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.2 DTiger.jpg,/objects/little_000014.jpg,/objects/small/little_000014_sm.jpg,/objects/thumbs/little_000014_th.jpg,Recto LR,01.O.2,14,Tiger D 01.2.jpg,ArtistSn-Z/Tiger D 01.2.jpg,14,little_000014.jpg
little_000015,Stickball player,"Tiger, Johnny, Jr.",https://dc.library.okstate.edu/digital/collection/ona/id/255/rec/118,Creek (culture or style); Seminole; Muscogee (Creek) Nation; Seminole Nation of Oklahoma,Tiger 71,1971,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.3 JTigerJr,NA,Image,Tempera; Paper (fiber product),image/jpg,image: 4.75 x 3 in.; framed: 13 x 10.5 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.3 JTigerJr.jpg,/objects/little_000015.jpg,/objects/small/little_000015_sm.jpg,/objects/thumbs/little_000015_th.jpg,Recto LR,01.O.3,15,Tiger Jr.Joh 01.3.jpg,ArtistSn-Z/Tiger Jr.Joh 01.3.jpg,15,little_000015.jpg
little_000016,Grandmother,"Narcomey, Jackson L. (Crazy Horse)",,,Narcomey -86,1986,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.5 JLNarcomey,NA,Image,Tempera; Paper (fiber product),image/jpg,image: 11 x 8 in.; framed: 16.5 x 13 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.5 JLNarcomey.jpg,/objects/little_000016.jpg,/objects/small/little_000016_sm.jpg,/objects/thumbs/little_000016_th.jpg,Recto LR,01.O.5,16,NarcomeyJL 01.5.jpg,ArtistM-Sm/NarcomeyJL 01.5.jpg,16,little_000016.jpg
little_000017,Woman in shawl holding pot,"Hudgens, Diana B.",,Cherokee (culture or style); Cherokee Nation,Diana Beach,,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.6 DHudgens-Beach,NA,Image,Oil paint (paint); Canvas (textile material),image/jpg,image: 24.5 x 19.5 in.;,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.6 DHudgens-Beach.jpg,/objects/little_000017.jpg,/objects/small/little_000017_sm.jpg,/objects/thumbs/little_000017_th.jpg,Reco LR,01.O.6,17,Hudgens-BeachD 01.6.jpg,ArtistH-L/Hudgens-BeachD 01.6.jpg,17,little_000017.jpg
little_000018,Dancer on the red earth,"Chaddlesone, Sherman",https://dc.library.okstate.edu/digital/collection/ona/id/219/rec/19,Kiowa (culture or style); Kiowa Tribe,S. Chaddlesone 01,2001,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.8 SChaddlesone,NA,Image,Acrylic paint,image/jpg,image: 13.5 x 10.75 in.; framed: 20 x 17 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.8 SChaddlesone.jpg,/objects/little_000018.jpg,/objects/small/little_000018_sm.jpg,/objects/thumbs/little_000018_th.jpg,Recto LL,01.O.8,18,ChaddlesoneS 01.8.jpg,ArtistA-G/ChaddlesoneS 01.8.jpg,18,little_000018.jpg
little_000019,Group seated by fire inside tipi,"Hill, Bobby",,Kiowa (culture or style); Kiowa Tribe,Whitebuffalo- Kiowa- '77,1977,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.9 BHill,NA,Image,Gouache (paint); Paper (fiber product),image/jpg,image: 14.5 x 12 in.; framed: 17.5 x 15 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.9 BHill.jpg,/objects/little_000019.jpg,/objects/small/little_000019_sm.jpg,/objects/thumbs/little_000019_th.jpg,Recto LR,01.O.9,19,HillB 01.9.jpg,ArtistH-L/HillB 01.9.jpg,19,little_000019.jpg
,Young boy carrying watermelon,"Fife, Jimmie",,Creek (culture or style); Muscogee (Creek) Nation,Fife '71,1971,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",02.10 JCFife,NA,Image,Tempera; Paper (fiber product),image/jpg,image: 5 x 3 in.; framed: 9 x 7 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,02.10 JCFife .jpg,,,,Recto LR,02.O.10,20,NA,NA,NA,
